date,total_confirm,total_suspect,total_heal,total_dead,total_severe,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm,name
2020-03-12,127,0,88,2,0,0,,0,0,,,甘肃
2020-03-13,129,0,89,2,0,2,0.0,1,0,0.0,,甘肃
2020-03-14,132,0,91,2,0,3,,2,0,,,甘肃
2020-03-15,133,0,91,2,0,1,,0,0,,,甘肃
2020-03-16,133,0,91,2,0,0,,0,0,,,甘肃
2020-03-17,133,0,91,2,0,0,,0,0,,,甘肃
2020-03-18,133,0,91,2,0,0,,0,0,,,甘肃
2020-03-19,134,0,98,2,0,1,,7,0,,,甘肃
2020-03-20,134,0,113,2,0,0,,15,0,,,甘肃
2020-03-21,134,0,113,2,0,0,,0,0,,,甘肃
2020-03-22,136,0,114,2,0,2,,1,0,,,甘肃
2020-03-23,136,0,118,2,0,0,,4,0,,,甘肃
2020-03-24,136,0,119,2,0,0,,1,0,,,甘肃
2020-03-25,136,0,121,2,0,0,,2,0,,,甘肃
2020-03-26,136,0,123,2,0,0,,2,0,,,甘肃
2020-03-27,136,0,125,2,0,0,,2,0,,,甘肃
2020-03-28,136,0,125,2,0,0,,0,0,,,甘肃
2020-03-29,138,0,125,2,0,2,,0,0,,,甘肃
2020-03-30,138,0,125,2,0,0,,0,0,,,甘肃
2020-01-24,6,19,0,0,0,6,,0,0,,,山西
2020-01-25,9,28,0,0,0,3,,0,0,,,山西
2020-01-26,13,57,0,0,0,4,,0,0,,,山西
2020-01-27,20,44,0,0,0,7,,0,0,,,山西
2020-01-28,27,41,0,0,0,7,,0,0,,,山西
2020-01-29,35,54,0,0,0,8,,0,0,,,山西
2020-01-30,39,67,1,0,0,4,,1,0,,,山西
2020-01-31,47,75,1,0,0,8,,0,0,,,山西
2020-02-01,56,64,1,0,0,9,,0,0,,,山西
2020-02-02,66,64,2,0,0,10,,1,0,,,山西
2020-02-03,74,62,2,0,0,8,,0,0,,,山西
2020-02-04,81,42,4,0,0,7,,2,0,,,山西
2020-02-05,90,0,6,0,0,9,0.0,2,0,,,山西
2020-02-06,96,54,12,0,0,6,22.0,6,0,,,山西
2020-02-07,104,0,15,0,0,8,0.0,3,0,,,山西
2020-02-08,115,0,21,0,0,11,,6,0,,,山西
2020-02-09,119,0,25,0,0,4,0.0,4,0,,,山西
2020-02-10,122,0,26,0,0,3,,1,0,,,山西
2020-02-11,124,0,30,0,0,2,,4,0,,,山西
2020-02-12,126,0,33,0,0,2,,3,0,,,山西
2020-02-13,126,0,36,0,0,0,,3,0,,,山西
2020-02-14,127,0,38,0,0,1,,2,0,,,山西
2020-02-15,128,0,46,0,0,1,,8,0,,,山西
2020-02-16,129,32,50,0,0,1,5.0,4,0,,,山西
2020-02-17,130,0,53,0,0,1,,3,0,,,山西
2020-02-18,131,0,61,0,0,1,,8,0,,,山西
2020-02-19,131,0,68,0,0,0,0.0,7,0,,,山西
2020-02-20,132,0,76,0,0,1,,8,0,,,山西
2020-02-21,132,0,78,0,0,0,,2,0,,,山西
2020-02-22,132,0,81,0,0,0,,3,0,,,山西
2020-02-23,132,0,88,0,0,0,,7,0,,,山西
2020-02-24,133,0,94,0,0,1,0.0,6,0,,,山西
2020-02-25,133,0,98,0,0,0,0.0,4,0,,,山西
2020-02-26,133,0,104,0,0,0,,6,0,,,山西
2020-02-27,133,0,107,0,0,0,,3,0,,,山西
2020-02-28,133,0,112,0,0,0,,5,0,,,山西
2020-02-29,133,0,114,0,0,0,,2,0,,,山西
2020-03-01,133,0,116,0,0,0,0.0,2,0,,,山西
2020-03-02,133,0,119,0,0,0,0.0,3,0,,,山西
2020-03-03,133,0,124,0,0,0,,5,0,,,山西
